Variable:,pr
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
1950,959.81,959.93,952.29,1003.27,981.07,919.27,888.61,988.89,1078.10,930.47,1091.08,1000.66,897.64
1951,1240.43,1145.29,1290.02,1196.39,1359.38,1123.25,1126.24,1385.28,1228.20,1130.98,1325.39,1204.45,1109.03
1952,1107.25,990.98,1175.01,1173.69,1073.59,1113.47,1194.34,1216.36,1271.50,1210.69,1278.13,1216.92,1146.54
1953,1249.21,1199.08,1270.87,1063.99,1370.23,1178.82,1056.97,1394.88,1112.30,1066.50,1153.80,1148.14,1072.58
1954,1103.82,1108.24,1055.83,1213.33,1117.29,1055.93,1154.96,1099.70,1358.30,1170.47,1339.01,1233.46,1116.43
1955,1250.59,1122.45,1217.66,1267.02,1344.21,1252.63,1189.66,1408.31,1349.90,1202.48,1398.10,1318.99,1223.65
1956,986.70,987.22,1012.06,1042.41,994.34,875.10,1008.73,1012.74,1126.20,1034.52,1106.97,1047.87,974.54
1957,1332.31,1169.48,1346.13,1346.44,1404.07,1316.82,1348.12,1496.71,1405.40,1273.05,1553.71,1476.01,1359.79
1958,818.55,742.31,884.09,1009.03,828.34,737.73,826.97,833.09,1124.50,893.67,1157.78,975.30,785.36
1959,1154.18,1024.87,1120.45,1371.52,1187.82,1171.90,1212.79,1243.82,1519.20,1285.21,1462.93,1327.14,1177.87
1960,1214.95,1004.77,1163.30,1365.84,1323.50,1257.20,1342.41,1359.05,1458.70,1348.39,1410.87,1318.89,1272.06
1961,980.35,912.86,962.70,1149.22,1010.03,980.55,1049.99,961.72,1346.60,1087.40,1221.21,1107.98,992.97
1962,1302.53,1072.87,1250.93,1601.44,1340.70,1430.44,1337.16,1431.62,1812.80,1416.94,1689.33,1567.50,1409.93
1963,1374.97,1004.80,1257.64,1622.16,1420.60,1704.70,1552.39,1594.08,1735.70,1471.09,1809.42,1774.29,1607.16
1964,1082.29,1111.18,1161.55,1079.50,1106.58,881.89,1055.20,1174.99,1171.90,1062.40,1165.86,1002.13,916.07
1965,1043.84,908.04,1009.37,1257.48,1059.98,1037.65,1157.49,1159.78,1436.00,1182.99,1511.63,1303.15,1105.07
1966,1053.97,953.59,1049.02,1055.19,1100.70,1027.15,1139.11,1157.32,1071.70,1132.53,1212.28,1151.42,1074.17
1967,1121.05,987.44,1115.57,1120.13,1222.79,1111.88,1037.79,1315.86,1293.50,1069.74,1176.88,1090.02,1030.55
1968,1315.59,1013.99,1155.99,1988.91,1313.79,1473.82,1748.27,1418.25,2213.10,1759.09,2149.71,1813.17,1659.51
1969,1133.29,1087.75,1219.23,1155.92,1177.71,1040.74,871.34,1273.51,1309.00,928.30,1269.99,1114.56,932.74
1970,1061.47,985.27,1117.08,1127.67,1013.61,1084.42,1078.44,1126.25,1169.70,1129.43,1226.27,1197.78,1073.41
1971,984.36,881.48,1017.56,904.80,1040.60,998.98,878.81,1158.92,1019.90,937.40,983.81,918.04,867.45
1972,994.09,910.77,1048.96,1048.19,1027.16,932.07,988.24,1085.15,1156.80,967.38,1120.14,1017.25,975.48
1973,947.26,702.99,955.55,873.67,1056.55,1060.05,905.73,1162.82,998.10,952.04,977.94,976.83,929.13
1974,1069.14,953.32,1108.87,1161.72,1064.45,1091.31,1089.01,1179.38,1270.70,1101.01,1259.02,1154.33,1088.82
1975,1077.61,1015.59,1040.89,1117.82,1116.05,1095.74,1067.71,1175.82,1284.80,1114.69,1157.42,1088.71,1050.44
1976,945.26,919.46,997.06,830.69,1046.15,822.23,756.20,1081.86,995.60,815.29,906.42,808.81,725.65
1977,850.31,899.51,868.91,686.74,903.75,771.59,637.71,914.88,774.90,663.06,745.45,744.11,684.34
1978,1084.05,974.88,1046.77,1112.29,1111.77,1142.35,1045.98,1227.15,1196.90,1020.04,1255.23,1248.33,1112.32
1979,1153.20,906.70,1088.12,1420.49,1188.24,1310.44,1287.87,1281.74,1513.80,1279.85,1540.45,1450.23,1309.39
1980,1011.27,893.11,909.25,1111.89,1043.05,1114.85,1109.11,1061.15,1064.00,1105.95,1247.46,1246.03,1160.96
1981,965.63,942.62,959.63,899.55,964.14,965.91,939.19,1011.63,940.50,948.21,1062.41,1087.21,991.15
1982,898.38,817.22,932.78,1174.63,959.14,782.95,827.95,954.23,1345.80,969.67,1184.17,963.72,815.36
1983,753.38,715.67,776.60,766.77,783.11,702.11,672.27,836.03,950.90,702.42,903.58,801.07,664.70
1984,925.31,735.05,828.90,913.20,1016.00,1096.21,943.28,1034.17,1006.90,962.56,1049.36,1100.53,1012.33
1985,984.91,875.03,879.39,967.16,1050.92,1118.48,1002.41,1088.14,1081.10,998.93,1108.75,1078.08,993.16
1986,943.80,922.65,983.04,832.21,963.50,913.03,878.62,1018.10,894.70,859.87,919.12,924.57,883.36
1987,949.67,757.40,882.20,1335.55,895.38,1105.53,1161.73,998.34,1387.60,1159.08,1524.13,1369.63,1188.92
1988,1161.14,991.26,1058.57,1285.21,1197.99,1303.41,1199.46,1298.75,1349.00,1129.08,1462.59,1440.51,1280.85
1989,1080.61,918.99,988.10,1145.30,1149.61,1176.28,1123.49,1215.42,1195.40,1127.40,1324.77,1289.28,1160.65
1990,924.90,827.54,863.49,945.45,949.73,1021.38,964.59,976.57,994.50,905.58,1072.23,1096.51,1027.71
1991,1207.55,1048.11,1252.09,1255.40,1301.06,1179.71,1102.95,1399.99,1385.20,1115.77,1364.60,1197.31,1111.73
1992,942.84,902.37,938.32,901.39,1018.79,919.86,795.53,1027.66,1045.90,814.09,973.98,922.52,833.08
1993,930.19,792.50,890.18,1181.53,950.15,967.15,1044.28,1039.68,1330.10,1112.49,1196.70,1053.78,983.18
1994,1105.74,1091.99,1138.63,961.08,1187.60,1015.97,960.70,1197.13,1062.50,966.15,1080.10,1044.68,949.41
1995,1116.41,870.68,1113.35,1115.75,1190.84,1245.06,1174.68,1302.09,1133.60,1112.08,1251.20,1238.89,1189.15
1996,1056.29,988.78,1063.20,1067.74,1102.73,1037.57,976.52,1141.67,1183.40,1014.83,1174.23,1128.56,1004.78
1997,997.04,822.57,915.55,1262.32,1030.12,1052.50,1125.02,1090.45,1402.80,1196.64,1494.26,1356.22,1109.36
1998,1096.38,1095.89,1137.33,932.69,1201.19,997.87,867.67,1184.57,996.60,870.36,1032.50,974.83,883.21
1999,1162.08,1007.36,1127.93,1206.96,1218.49,1216.76,1166.94,1328.85,1305.20,1148.06,1355.40,1297.44,1188.26
2000,961.84,846.72,964.21,934.39,1020.93,994.52,905.93,1089.21,1009.90,891.55,1036.88,1019.00,934.74
2001,846.08,811.19,867.22,831.24,879.22,810.83,781.89,903.44,921.30,791.86,914.98,865.06,791.43
2002,1021.21,904.17,969.20,1140.59,1074.78,1058.14,1041.11,1126.21,1305.20,1079.74,1251.51,1138.62,1035.59
2003,1199.85,1094.76,1189.17,1213.09,1262.80,1211.39,1141.15,1311.82,1306.10,1145.53,1371.66,1300.03,1163.36
2004,1041.47,872.69,991.83,1182.50,1076.53,1128.55,1090.40,1168.15,1266.50,1097.04,1343.02,1271.48,1117.41
2005,988.65,954.62,1021.06,1013.32,996.94,948.96,952.54,1057.77,1114.70,982.01,1095.72,1010.12,930.19
